x,y,Mean
89.5,26.5,2685.820047
89.75,26.5,2667.836716
90,26.5,2635.570604
90.25,26.5,2603.304492
90.5,26.5,2585.027827
90.75,26.5,2566.751162
91,26.5,2504.666713
91.25,26.5,2442.582265
91.5,26.5,2386.822819
91.75,26.5,2331.063373
92,26.5,2290.988927
92.25,26.5,2250.91448
92.5,26.5,2202.248926
92.75,26.5,2153.583373
93,26.5,2132.282816
93.25,26.5,2110.982259
93.5,26.5,2097.105592
93.75,26.5,2083.228925
94,26.5,2079.962257
94.25,26.5,2076.69559
94.5,26.5,2045.551702
94.75,26.5,2014.407814
95,26.5,1887.206145
95.25,26.5,1760.004476
88.25,26.75,2320.802262
88.5,26.75,2462.075596
88.75,26.75,2603.34893
89,26.75,2655.453375
89.25,26.75,2707.55782
89.5,26.75,2695.88116
89.75,26.75,2684.2045
90,26.75,2642.701161
90.25,26.75,2601.197822
90.5,26.75,2574.826715
90.75,26.75,2548.455608
91,26.75,2484.942268
91.25,26.75,2421.428928
91.5,26.75,2372.460039
91.75,26.75,2323.49115
92,26.75,2241.587814
92.25,26.75,2159.684478
92.5,26.75,2114.982258
92.75,26.75,2070.280039
93,26.75,2068.750038
93.25,26.75,2067.220037
93.5,26.75,2076.052259
93.75,26.75,2084.884482
94,26.75,2105.445593
94.25,26.75,2126.006703
94.5,26.75,2115.280037
94.75,26.75,2104.553372
95,26.75,1938.031145
95.25,26.75,1771.508919
95.5,26.75,1757.357807
88,27,2145.575037
88.25,27,2205.342261
88.5,27,2303.521705
88.75,27,2401.70115
89,27,2367.723372
92,27,2117.888924
92.25,27,2029.828921
92.5,27,2033.592256
92.75,27,2037.35559
93,27,2017.492256
93.25,27,1997.628922
93.5,27,2010.532256
93.75,27,2023.43559
94,27,2068.055036
94.25,27,2112.674481
94.5,27,2119.817815
94.75,27,2126.961149
95,27,2022.426702
95.25,27,1917.892255
95.5,27,1875.304476
95.75,27,1832.716697
96,27,1831.352808
88,27.25,2121.573372
88.25,27.25,2089.88226
88.5,27.25,2144.967814
88.75,27.25,2200.053369
92,27.25,1994.190033
92.25,27.25,1899.973365
92.5,27.25,1952.202253
92.75,27.25,2004.431142
93,27.25,1966.234475
93.25,27.25,1928.037808
93.5,27.25,1945.012253
93.75,27.25,1961.986698
