,V1,V2,,,
292,879.6145811,110.2264059,,,
293,904.016538,114.5780743,,,
294,980.0554526,126.3135507,,,
295,1056.094367,138.8772397,,,
296,1005.92154,133.7012633,,,
297,955.7487122,128.9290981,,,
298,947.6950161,128.9123387,,,
299,939.6413201,129.3117005,,,
300,866.1674053,118.7633222,,,
301,792.6934905,108.7620528,,,
302,742.1267515,101.8673229,,,
303,691.5600125,95.61291982,,,
304,696.4721863,91.05066648,,,
305,730.5761001,95.47651929,,,
306,764.6800138,101.3819198,,,
307,865.1343633,116.4436768,,,
308,965.5887127,132.3687712,,,
309,899.8087104,124.3528849,,,
310,834.0287081,117.0011426,,,
311,818.9326217,115.5605167,,,
312,803.8365354,114.5460708,,,
313,749.8087082,106.55815,,,
314,695.7808811,99.00536747,,,
315,659.1500112,93.84620823,,,
316,688.0730553,94.18524647,,,
317,739.8328388,102.1015354,,,
318,791.5926223,110.7588665,,,
319,781.7413176,110.3897775,,,
320,771.8900129,110.4095566,,,
321,748.9063169,107.4971037,,,
322,725.922621,104.9378468,,,
323,676.0682724,97.90569197,,,
324,626.2139238,91.17441565,,,
325,601.1110973,87.90073231,,,
326,614.5313144,88.4443661,,,
327,617.5965319,90.0511865,,,
328,663.6739248,97.15608292,,,
329,709.7513176,104.6090495,,,
330,678.8800121,100.1345776,,,
331,648.0087066,95.99378545,,,
332,602.3278365,89.7839996,,,
333,556.6469665,83.91721927,,,
334,543.0721834,82.52884502,,,
335,548.996966,83.17350895,,,
