x,y,Mean
94.5,29.25,596.6255641
94.75,29.25,597.3822309
95,29.25,640.6688991
95.25,29.25,683.9555673
95.5,29.25,652.4555671
95.75,29.25,620.955567
96,29.25,575.1900102
96.25,29.25,529.4244533
96.5,29.25,515.9366747
96,29.5,523.6422318
