"","V1","V2"
"156",2050.34351215201,215.279839816371
"157",2057.54481764271,214.569969441649
"158",2042.83242563826,210.545816234825
"159",2028.12003363381,207.954269871153
"160",2045.98786047129,209.039786304689
"161",2063.85568730877,212.080525508494
"162",2114.38286254437,219.776837817089
"163",2164.91003777997,229.617000636362
"164",2176.82742865557,233.628232760992
"165",2188.74481953117,239.298822396765
"166",2083.36329554005,228.245397297906
"167",1977.98177154894,218.450190481878
"168",1932.17785854647,209.336287216852
"169",1886.37394554401,201.36979188311
"170",1885.23764048606,201.244440946831
"171",2152.34308342477,282.850474218758
"172",2111.76177838594,263.80407203531
"173",2163.84612583269,257.810213451981
"174",2215.93047327943,255.818089323852
"175",1998.33046680388,216.018251910978
"176",1907.08350797322,205.090453610757
"177",1962.59046577011,207.59239260656
"178",2018.09742356701,211.518284866328
"179",1985.77307604172,205.093187702816
"180",1953.44872851644,200.460736973415
