x,y,Mean
96,28.75,767.6175154
96.25,28.75,711.9750135
96.5,28.75,673.4450132
94.25,29,700.7300123
94.5,29,754.8675141
94.75,29,809.0050159
95,29,799.6412657
95.25,29,790.2775154
95.5,29,766.953764
95.75,29,743.6300125
96,29,692.5050122
96.25,29,641.3800119
96.5,29,615.126262
94.5,29.25,627.6075129
94.75,29.25,632.4400134
95,29.25,679.5250163
95.25,29.25,726.6100191
95.5,29.25,695.3050135
95.75,29.25,664.0000078
96,29.25,617.3925091
96.25,29.25,570.7850103
96.5,29.25,556.8075109
96,29.5,563.1437584
