"","V1"
"139",1353.78848266602
"140",1349.89617655827
"141",1346.00387045053
"142",1352.91733228243
"143",1359.83079411433
"144",1359.69040914682
"145",1359.55002417931
"146",1282.50002171443
"147",1205.45001924955
"148",1203.12117517911
"149",1663.83368477455
"150",1708.42311066848
"151",1777.79810758737
"152",1847.17310450627
"153",1807.4942610814
"154",1472.33463991605
"155",1406.90771396343
"156",1393.10290593367
"157",1379.29809790391
"158",1356.81059727302
"159",1334.32309664213
"160",1329.9394438817
"161",1325.55579112126
"162",1340.46252243335
"163",1355.36925374545
"164",1360.85194675739
"165",1366.33463976933
"166",1321.30098482279
"167",1276.26732987624
"168",1259.19425223424
"169",1242.12117459224
"170",1250.85290600703
"171",1649.7807966379
"172",1623.10003075233
"173",1661.3173367427
"174",1699.53464273306
"175",1427.14040814913
"176",1359.19617462158
"177",1371.20386519799
"178",1383.2115557744
"179",1349.03463319632
"180",1314.85771061824
"181",1309.98271120512
"182",1305.10771179199
"183",1328.00771258428
"184",1350.90771337656
"185",1362.01348436796
"186",1373.11925535936
"187",1360.10194793114
"188",1347.08464050293
"189",1315.26732928936
"190",1283.4500180758
"191",1257.72886613699
"192",1232.00771419819
"193",1148.59232682448
"194",1065.17693945078
"195",1058.16347753085
"196",1293.70579044636
"197",1257.23463865427
"198",1317.29329189887
"199",1377.35194514348
"200",1344.1230998406
"201",1260.37982771947
"202",1176.63655559833
"203",1212.98174777398
"204",1249.32693994962
"205",1254.50578799615
"206",1259.68463604267
"207",1263.55675125122
"208",1267.42886645977
"209",1278.80098064129
"210",1290.17309482281
"211",1305.53271440359
"212",1320.89233398438
"213",1318.26156440148
"214",1315.63079481858
"215",1289.33367780539
"216",1263.03656079219
"217",1231.97694507012
"218",1200.91732934805
"219",1071.71540289659
"220",942.513476445124
"221",967.754824931805
"222",891.369246556209
"223",973.269247055054
"224",1055.1692475539
"225",1193.16155800453
"226",1093.6192472898
"227",994.076936575083
"228",1054.75963034997
"229",1115.44232412485
"230",1159.97694279597
"231",1204.5115614671
"232",1217.13079129733
"233",1229.75002112755
"234",1229.59424869831
"235",1229.43847626906
"236",1249.05194443923
"237",1268.66541260939
"238",1276.42118087182
"239",1284.17694913424
"240",1263.40002632141
"241",1242.62310350858
"242",1206.22502400325
"243",1169.82694449791
"244",994.838478968694
"245",819.850013439472
"246",877.346172332764
"247",934.842331226055
"248",904.273092416617
"249",934.26251572829
"250",964.251939039964
"251",939.705783257118
"252",1010.71155518752
"253",1081.71732711792
"254",1098.58078868572
"255",1115.44425025353
"256",1120.36636572618
"257",1125.28848119882
"258",1158.8240603667
"259",1192.35963953458
"260",1179.23175356938
"261",1166.10386760418
"262",1155.55098306216
"263",1144.99809852013
"264",1082.04424975469
"265",1019.09040098924
"266",900.783668224628
"267",782.476935460017
"268",787.963476474469
"269",793.45001748892
"270",763.969242389385
"271",861.446167579064
"272",958.923092768742
"273",980.030786074125
"274",1001.13847937951
"275",1011.13848275405
"276",1021.13848612859
"277",1068.59617629418
"278",1116.05386645977
"279",1082.04232626695
"280",1048.03078607412
"281",1047.7019398029
"282",1047.37309353168
"283",957.863475506122
"284",868.353857480563
"285",806.728857480563
"286",745.103857480563
"287",698.580780616174
"288",652.057703751784
"289",813.113475139325
"290",829.970206700839
"291",846.826938262353
"292",867.646170139313
"293",888.465402016274
"294",959.86444077125
"295",1031.26347952623
"296",981.000978396489
"297",930.738477266751
"298",922.656745910645
"299",914.575014554537
"300",844.129820970388
"301",773.68462738624
"302",724.679819400494
"303",675.675011414748
"304",692.515397145198
"305",724.153857524578
"306",755.792317903959
"307",851.132705248319
"308",946.47309259268
"309",879.959630526029
"310",813.446168459379
"311",797.611552018386
"312",781.776935577393
"313",730.396166434655
"314",679.015397291917
"315",642.630781320426
"316",681.330778488746
"317",728.807702908149
"318",776.284627327552
"319",765.407704976889
"320",754.530782626226
"321",731.002897372612
"322",707.475012119
"323",658.522126931411
"324",609.569241743822
"325",584.889433750739
"326",606.482700567979
"327",606.096162062425
"328",650.855779427749
"329",695.615396793072
"330",664.39424272684
"331",633.173088660607
"332",586.648087428166
"333",540.123086195726
"334",527.148086181054
"335",534.39904836508
