x,y,M1920,M1990,Mean,,,
94.5,29.5,569.84,573.384,-3.544,,,
95.5,29.5,618.73625,613.357,5.37925,,,
96.5,29.5,504.46,500.099,4.361,,,
73.5,30.5,226.30625,270.787,-44.48075,,,
74.5,30.5,315.1775,345.072,-29.8945,,,
75.5,30.5,434.6725,461.688,-27.0155,,,
76.5,30.5,638.03875,595.282,42.75675,,,
77.5,30.5,911.31875,684.828,226.49075,,,
78.5,30.5,883.6325,640.617,243.0155,,,
79.5,30.5,629.02125,457.629,171.39225,,,
80.5,30.5,413.1125,316.634,96.4785,,,
74.5,31.5,408.23125,498.221,-89.98975,,,
75.5,31.5,571.96,595.845,-23.885,,,
76.5,31.5,793.57125,662.992,130.57925,,,
77.5,31.5,764.72375,573.796,190.92775,,,
78.5,31.5,645.0175,476.347,168.6705,,,
79.5,31.5,399.4025,293.495,105.9075,,,
74.5,32.5,538.60125,618.975,-80.37375,,,
75.5,32.5,613.06875,622.011,-8.94225,,,
76.5,32.5,515.33375,442.471,72.86275,,,
77.5,32.5,324.82,265.953,58.867,,,
78.5,32.5,241.18375,190.488,50.69575,,,
79.5,32.5,197.38125,151.353,46.02825,,,
73.5,33.5,532.52875,652.434,-119.90525,,,
74.5,33.5,449.24375,498.905,-49.66125,,,
75.5,33.5,390.56375,397.021,-6.45725,,,
76.5,33.5,242.61875,225.542,17.07675,,,
77.5,33.5,160.7375,143.997,16.7405,,,
78.5,33.5,117.64625,101.243,16.40325,,,
79.5,33.5,104.21125,86.531,17.68025,,,
73.5,34.5,381.2225,461.071,-79.8485,,,
74.5,34.5,277.1325,308.846,-31.7135,,,
75.5,34.5,173.39125,183.064,-9.67275,,,
76.5,34.5,125.2775,125.099,0.1785,,,
77.5,34.5,70.63625,67.717,2.91925,,,
78.5,34.5,29.04125,26.947,2.09425,,,
79.5,34.5,7.8,7.276,0.524,,,
73.5,35.5,159.40625,201.603,-42.19675,,,
74.5,35.5,118.18625,144.996,-26.80975,,,
75.5,35.5,81.7825,91.275,-9.4925,,,
76.5,35.5,29.2975,30.764,-1.4665,,,
77.5,35.5,5.3675,5.64,-0.2725,,,
78.5,35.5,1.45,1.563,-0.113,,,
79.5,35.5,0.72875,0.785,-0.05625,,,
80.5,35.5,0.73625,0.801,-0.06475,,,
72.5,36.5,87.38125,107.312,-19.93075,,,
73.5,36.5,73.5525,88.657,-15.1045,,,
74.5,36.5,49.27125,59.162,-9.89075,,,
75.5,36.5,17.00125,19.769,-2.76775,,,
78.5,36.5,2.18375,2.488,-0.30425,,,
79.5,36.5,11.14875,12.305,-1.15625,,,
