x,y,Mean,Std,,,
71.5,24.5,381.691886,168.2413236,,,
72.5,24.5,561.2028509,221.3709192,,,
73.5,24.5,613.4574561,194.4437759,,,
74.5,24.5,756.7094298,211.0191307,,,
75.5,24.5,797.3734649,221.2809257,,,
76.5,24.5,775.8197368,209.678242,,,
77.5,24.5,928.6114035,232.4764524,,,
78.5,24.5,1012.696711,245.0152748,,,
79.5,24.5,1038.700877,234.1576453,,,
80.5,24.5,1002.291447,217.7312642,,,
81.5,24.5,948.3929825,214.1494369,,,
82.5,24.5,926.3684211,197.9039734,,,
83.5,24.5,917.7326754,201.5864396,,,
84.5,24.5,940.9239035,209.9919844,,,
85.5,24.5,974.1100877,194.8692589,,,
86.5,24.5,1015.220175,203.402965,,,
87.5,24.5,1098.697149,218.501586,,,
88.5,24.5,1172.209649,181.3561638,,,
91.5,24.5,2006.736623,306.7197104,,,
92.5,24.5,2052.358333,300.9527942,,,
93.5,24.5,1454.989035,213.3831646,,,
94.5,24.5,1161.646711,171.9469621,,,
70.5,25.5,203.6024123,112.4079494,,,
71.5,25.5,261.352193,119.4011388,,,
72.5,25.5,362.633114,152.4456379,,,
73.5,25.5,459.7583333,169.5744062,,,
74.5,25.5,560.0905702,185.7171474,,,
75.5,25.5,675.460307,221.3315559,,,
76.5,25.5,786.464693,233.0795676,,,
77.5,25.5,844.2905702,207.1339457,,,
78.5,25.5,854.2030702,191.6268594,,,
79.5,25.5,873.0747807,176.2895284,,,
80.5,25.5,877.127193,196.2341772,,,
81.5,25.5,859.5774123,237.8871887,,,
82.5,25.5,864.435307,214.7611518,,,
83.5,25.5,885.2302632,196.9884424,,,
84.5,25.5,911.404386,226.2755021,,,
85.5,25.5,945.9013158,229.9152688,,,
86.5,25.5,1021.739693,207.9824196,,,
87.5,25.5,1237.588377,211.4344552,,,
88.5,25.5,1482.739912,238.6710233,,,
90.5,25.5,2111.588816,294.1139178,,,
91.5,25.5,3036.034868,519.1563638,,,
92.5,25.5,2277.531798,370.0187818,,,
93.5,25.5,1381.483772,187.7030366,,,
94.5,25.5,1296.788816,174.3833921,,,
70.5,26.5,160.189693,89.32914947,,,
71.5,26.5,202.2526316,96.06762502,,,
72.5,26.5,268.483114,120.4477246,,,
73.5,26.5,356.5850877,153.1071699,,,
74.5,26.5,471.5791667,170.3432255,,,
75.5,26.5,574.2423246,193.5387709,,,
76.5,26.5,675.9298246,193.973034,,,
77.5,26.5,712.1622807,187.2782512,,,
78.5,26.5,718.1690789,183.7995214,,,
79.5,26.5,750.716886,171.5854009,,,
80.5,26.5,794.9221491,177.2158688,,,
81.5,26.5,876.9065789,213.7499192,,,
82.5,26.5,987.5,223.9149195,,,
83.5,26.5,1106.041009,240.5420943,,,
84.5,26.5,1218.153509,254.4401699,,,
85.5,26.5,1222.103509,276.1132851,,,
86.5,26.5,1204.017544,249.5055218,,,
87.5,26.5,1482.340789,284.6128092,,,
88.5,26.5,1921.475,294.6609325,,,
89.5,26.5,2019.322368,313.2452135,,,
90.5,26.5,1807.558553,266.981029,,,
91.5,26.5,1612.014474,256.1066243,,,
92.5,26.5,1487.179386,203.3990223,,,
93.5,26.5,1392.112281,171.2122414,,,
94.5,26.5,1362.705921,171.2500832,,,
95.5,26.5,1247.698684,163.0652963,,,
69.5,27.5,99.06447368,71.84860419,,,
70.5,27.5,130.2370614,79.26259951,,,
71.5,27.5,167.9548246,85.96454622,,,
72.5,27.5,214.4868421,98.96384883,,,
73.5,27.5,280.9214912,120.140217,,,
74.5,27.5,373.1940789,141.5155908,,,
75.5,27.5,464.8809211,156.9903322,,,
76.5,27.5,555.3,173.9859235,,,
77.5,27.5,615.9322368,178.4998219,,,
78.5,27.5,687.0923246,179.1187363,,,
79.5,27.5,790.0791667,182.2665206,,,
80.5,27.5,930.7421053,218.9860247,,,
81.5,27.5,1064.718202,234.4668759,,,
82.5,27.5,1261.24386,270.2074082,,,
83.5,27.5,1541.479386,303.4778926,,,
84.5,27.5,1795.133991,339.3971306,,,
88.5,27.5,1337.288158,169.8340923,,,
89.5,27.5,1283.437281,174.1626004,,,
90.5,27.5,1457.704605,198.9591574,,,
91.5,27.5,1398.179386,183.6942151,,,
92.5,27.5,1205.194298,138.058671,,,
93.5,27.5,1273.278289,138.7124973,,,
94.5,27.5,1339.125219,178.2366535,,,
95.5,27.5,1321.623026,182.3165932,,,
96.5,27.5,1087.425,135.5093755,,,
97.5,27.5,993.779386,134.6279807,,,
70.5,28.5,103.6583333,68.1201338,,,
71.5,28.5,130.0364035,69.91139218,,,
72.5,28.5,170.7436404,79.54146737,,,
73.5,28.5,225.5,102.5543458,,,
74.5,28.5,294.4149123,115.6221884,,,
75.5,28.5,370.4734649,125.2837187,,,
76.5,28.5,486.160307,160.4442271,,,
77.5,28.5,628.8149123,198.5614061,,,
78.5,28.5,772.547807,192.628548,,,
79.5,28.5,983.2592105,239.7984265,,,
80.5,28.5,1193.009211,312.8760671,,,
81.5,28.5,1191.525658,266.5592912,,,
88.5,28.5,859.6333333,120.929442,,,
91.5,28.5,775.1714912,111.7174873,,,
92.5,28.5,710.2888158,105.6954415,,,
93.5,28.5,827.3914474,110.8717154,,,
94.5,28.5,976.527193,123.662286,,,
95.5,28.5,939.9135965,124.8346586,,,
96.5,28.5,736.670614,93.5490444,,,
97.5,28.5,607.3778509,84.00558391,,,
72.5,29.5,153.3557018,63.9168862,,,
73.5,29.5,201.9388158,77.65870192,,,
74.5,29.5,278.4372807,96.5700353,,,
75.5,29.5,369.8969298,112.9498887,,,
76.5,29.5,512.5923246,148.4611378,,,
77.5,29.5,732.2767544,180.4778519,,,
78.5,29.5,872.0638158,212.1689122,,,
79.5,29.5,972.5741228,269.5420994,,,
80.5,29.5,939.2445175,229.5083255,,,
94.5,29.5,564.9741228,79.43580825,,,
95.5,29.5,611.3940789,79.85544499,,,
96.5,29.5,498.9820175,68.09675326,,,
73.5,30.5,244.4149123,88.16198372,,,
74.5,30.5,335.5114035,110.0355578,,,
75.5,30.5,457.4653509,150.0553027,,,
76.5,30.5,641.0105263,166.995015,,,
77.5,30.5,842.4484649,206.2871841,,,
78.5,30.5,807.8649123,192.1251876,,,
79.5,30.5,577.8004386,141.0415591,,,
80.5,30.5,385.8938596,85.68718703,,,
74.5,31.5,448.3410088,154.2819474,,,
75.5,31.5,599.9190789,185.1217558,,,
76.5,31.5,758.0184211,187.0771526,,,
77.5,31.5,695.3219298,173.6180171,,,
78.5,31.5,584.1197368,140.310403,,,
79.5,31.5,362.1945175,90.54764555,,,
74.5,32.5,580.3322368,175.0941583,,,
75.5,32.5,628.5927632,177.9380304,,,
76.5,32.5,486.927193,116.4594864,,,
77.5,32.5,301.6311404,74.15201839,,,
78.5,32.5,222.0157895,58.8777351,,,
79.5,32.5,180.1046053,54.28576882,,,
73.5,33.5,581.9833333,193.932094,,,
74.5,33.5,474.4339912,153.3656271,,,
75.5,33.5,393.0092105,117.5939139,,,
76.5,33.5,230.9864035,66.71369643,,,
77.5,33.5,152.5298246,43.10646317,,,
78.5,33.5,111.3967105,33.35599887,,,
79.5,33.5,97.45153509,28.79726651,,,
73.5,34.5,418.3826754,134.9056673,,,
74.5,34.5,293.9074561,97.00443294,,,
75.5,34.5,174.2782895,60.13190833,,,
76.5,34.5,121.5471491,44.14989875,,,
77.5,34.5,68.32412281,22.95836722,,,
78.5,34.5,28.13881579,9.582603783,,,
79.5,34.5,7.644517544,3.538252967,,,
73.5,35.5,181.9089912,62.70569533,,,
74.5,35.5,130.7903509,47.34111381,,,
75.5,35.5,84.44934211,33.64740379,,,
76.5,35.5,29.24385965,13.43672222,,,
77.5,35.5,5.420614035,3.733105373,,,
78.5,35.5,1.462280702,1.005709616,,,
79.5,35.5,0.734868421,0.520961271,,,
80.5,35.5,0.747149123,0.511404871,,,
72.5,36.5,93.3620614,42.22405055,,,
73.5,36.5,79.71885965,31.57365398,,,
74.5,36.5,54.65855263,21.73773783,,,
75.5,36.5,18.35942982,10.76585391,,,
78.5,36.5,2.255921053,1.767783544,,,
79.5,36.5,11.38903509,5.902038641,,,
